fid,id,left,top,right,bottom,row_index,col_index,Plot Numbe,_count,_sum,_mean
109,149,583073.9654,5031643.407,583076.2054,5031638.407,12,14,1214,1120,895,0.799107143
134,149,583073.9654,5031643.407,583076.2054,5031638.407,12,15,1215,1118,1049,0.938282648
149,149,583073.9654,5031643.407,583076.2054,5031638.407,12,19,1219,1120,1070,0.955357143
164,149,583073.9654,5031643.407,583076.2054,5031638.407,12,20,1220,1119,1039,0.928507596
179,149,583073.9654,5031643.407,583076.2054,5031638.407,12,21,1221,1122,1024,0.912655971
3,8,583058.2854,5031648.407,583060.5254,5031643.407,13,4,1304,1118,975,0.872093023
18,28,583060.5254,5031648.407,583062.7654,5031643.407,13,5,1305,1118,1056,0.944543828
33,48,583062.7654,5031648.407,583065.0054,5031643.407,13,6,1306,1118,824,0.737030411
48,68,583065.0054,5031648.407,583067.2454,5031643.407,13,7,1307,1123,731,0.650934996
63,88,583067.2454,5031648.407,583069.4854,5031643.407,13,8,1308,1120,958,0.855357143
78,108,583069.4854,5031648.407,583071.7254,5031643.407,13,9,1309,1118,779,0.696779964
93,128,583071.7254,5031648.407,583073.9654,5031643.407,13,13,1313,1121,806,0.719000892
108,148,583073.9654,5031648.407,583076.2054,5031643.407,13,14,1314,1122,918,0.818181818
133,148,583073.9654,5031648.407,583076.2054,5031643.407,13,15,1315,1118,1069,0.956171735
148,148,583073.9654,5031648.407,583076.2054,5031643.407,13,19,1319,1120,860,0.767857143
163,148,583073.9654,5031648.407,583076.2054,5031643.407,13,20,1320,1118,1082,0.967799642
178,148,583073.9654,5031648.407,583076.2054,5031643.407,13,21,1321,1121,1014,0.904549509
2,7,583058.2854,5031653.407,583060.5254,5031648.407,14,4,1404,1121,1070,0.954504906
17,27,583060.5254,5031653.407,583062.7654,5031648.407,14,5,1405,1118,1070,0.95706619
32,47,583062.7654,5031653.407,583065.0054,5031648.407,14,6,1406,1122,1082,0.964349376
47,67,583065.0054,5031653.407,583067.2454,5031648.407,14,7,1407,1119,749,0.669347632
62,87,583067.2454,5031653.407,583069.4854,5031648.407,14,8,1408,1122,932,0.830659537
77,107,583069.4854,5031653.407,583071.7254,5031648.407,14,9,1409,1119,1111,0.99285076
92,127,583071.7254,5031653.407,583073.9654,5031648.407,14,13,1413,1118,748,0.669051878
107,147,583073.9654,5031653.407,583076.2054,5031648.407,14,14,1414,1119,1001,0.894548704
132,147,583073.9654,5031653.407,583076.2054,5031648.407,14,15,1415,1122,1065,0.949197861
147,147,583073.9654,5031653.407,583076.2054,5031648.407,14,19,1419,1118,1018,0.910554562
162,147,583073.9654,5031653.407,583076.2054,5031648.407,14,20,1420,1124,1070,0.951957295
177,147,583073.9654,5031653.407,583076.2054,5031648.407,14,21,1421,1117,769,0.688451209
1,6,583058.2854,5031658.407,583060.5254,5031653.407,15,4,1504,1118,991,0.886404293
16,26,583060.5254,5031658.407,583062.7654,5031653.407,15,5,1505,1121,1064,0.949152542
31,46,583062.7654,5031658.407,583065.0054,5031653.407,15,6,1506,1121,910,0.811775201
46,66,583065.0054,5031658.407,583067.2454,5031653.407,15,7,1507,1124,932,0.829181495
61,86,583067.2454,5031658.407,583069.4854,5031653.407,15,8,1508,1118,967,0.864937388
76,106,583069.4854,5031658.407,583071.7254,5031653.407,15,9,1509,1120,1096,0.978571429
91,126,583071.7254,5031658.407,583073.9654,5031653.407,15,13,1513,1123,1010,0.89937667
106,146,583073.9654,5031658.407,583076.2054,5031653.407,15,14,1514,1122,1081,0.963458111
131,146,583073.9654,5031658.407,583076.2054,5031653.407,15,15,1515,1118,796,0.711985689
146,146,583073.9654,5031658.407,583076.2054,5031653.407,15,19,1519,1119,490,0.437890974
161,146,583073.9654,5031658.407,583076.2054,5031653.407,15,20,1520,1118,994,0.889087657
176,146,583073.9654,5031658.407,583076.2054,5031653.407,15,21,1521,1109,339,0.305680794
