Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Mason Plot #,Identity1,Description1,Name1 (Row Spacing),Name2 (Planting Density),Name3 (variety),Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Common Bacterial Blight,Lodging,Height,Desirability score,White Mold,anthracnose,Flowering Date,Maturity Date,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,1B20C85804,1,,LODS,49,12004,,,"22""",150000,Cayenne,12,4,39,19.9,1476,1897,,,,,,,2024-07-24,2024-08-30,,0,49,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1D1519F912,1,,LODS,50,11004,,,"22""",150000,Windbreaker,11,4,42,20.1,1532,1964,,,,,,,2024-07-20,2024-08-24,,0,50,,,,,,,,,,,,,,,,,,,,,,,
24101-n,11AC5EA708,1,,LODS,51,10004,,,"22""",150000,Eclipse,10,4,45,20,1319,1693,,,,,,,2024-07-23,2024-08-28,,0,51,,,,,,,,,,,,,,,,,,,,,,,
24101-n,17C35F9EF6,1,,LODS,52,9004,,,"22""",150000,CLERK,9,4,61,20.4,657,839,,,,,,,2024-07-23,,,0,52,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1B93418F81,1,,LODS,53,8004,,,"22""",150000,Red Rover,8,4,57,18.9,764,994,,,,,,,2024-07-17,2024-08-22,,0,53,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1617DE1AAA,1,,LODS,54,7004,,,"22""",150000,Red Dawn,7,4,64,20.7,550,700,,,,,,,2024-07-18,2024-08-20,,0,54,,,,,,,,,,,,,,,,,,,,,,,
24101-n,137A27CF22,1,,LODS,55,6004,,,"22""",150000,T9905,6,4,25,18.3,1828,2396,,,,,,,2024-07-22,2024-08-30,,0,55,,,,,,,,,,,,,,,,,,,,,,,
24101-n,178A7FCC1B,1,,LODS,56,5004,,,"22""",150000,Ronnies red,5,4,70,19.6,766,988,,,,,,,2024-07-21,2024-09-02,,0,56,,,,,,,,,,,,,,,,,,,,,,,
24101-n,10DF836229,1,,LODS,57,4004,,,"22""",150000,Merlot,4,4,40,19.9,1582,2033,,,,,,,2024-07-22,2024-08-30,,0,57,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1BEEB999A1,1,,LODS,58,3004,,,"22""",150000,Apex,3,4,28,20.5,1623,2070,,,,,,,2024-07-22,2024-09-01,,0,58,,,,,,,,,,,,,,,,,,,,,,,
24101-n,184AA18C55,1,,LODS,59,2004,,,"22""",150000,ETNA,2,4,47,19.3,190,246,,,,,,,2024-07-17,2024-08-22,,0,59,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F294A5502,1,,LODS,60,1004,,,"22""",150000,black bear,1,4,,,,,,,,,,,2024-07-21,,,0,60,,,,,,,,,,,,,,,,,,,,,,,
24101-n,128FCE3EF1,1,,LODS,61,1005,,,"22""",75000,Nautica,1,5,29,17.2,482,640,,,,,,,2024-07-22,2024-09-01,,0,61,,,,,,,,,,,,,,,,,,,,,,,
24101-n,108817FC5A,1,,LODS,62,2005,,,"22""",75000,Merlot,2,5,40,20.6,929,1184,,,,,,,2024-07-23,2024-09-01,,0,62,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C2A16BA08,1,,LODS,63,3005,,,"22""",75000,Apex,3,5,28,22.8,1518,1880,,,,,,,2024-07-24,,,0,63,,,,,,,,,,,,,,,,,,,,,,,
