fid,id,left,top,right,bottom,row_index,col_index,_count,_sum,_mean
"151","151",583073.9654,5031633.4071,583076.2054,5031628.4071,"10","7",1121,937,0.835860838537021
"152","160",583073.9654,5031588.4071,583076.2054,5031583.4071,"19","7",1122,1037,0.924242424242424
"153","152",583073.9654,5031628.4071,583076.2054,5031623.4071,"11","7",1122,972,0.866310160427808
"154","153",583073.9654,5031623.4071,583076.2054,5031618.4071,"12","7",1119,970,0.866845397676497
"155","154",583073.9654,5031618.4071,583076.2054,5031613.4071,"13","7",1118,1022,0.914132379248658
"156","155",583073.9654,5031613.4071,583076.2054,5031608.4071,"14","7",1118,1081,0.96690518783542
"157","156",583073.9654,5031608.4071,583076.2054,5031603.4071,"15","7",1117,1046,0.936436884512086
"158","157",583073.9654,5031603.4071,583076.2054,5031598.4071,"16","7",1122,1100,0.980392156862745
"159","158",583073.9654,5031598.4071,583076.2054,5031593.4071,"17","7",1122,1031,0.918894830659537
"160","159",583073.9654,5031593.4071,583076.2054,5031588.4071,"18","7",1123,952,0.847729296527159
"161","146",583073.9654,5031658.4071,583076.2054,5031653.4071,"5","7",1118,994,0.889087656529517
