Experiment Name,BARCODE_128,BLOC,Org Name,Locn,Plot,Description1,SPACING,DENSITY,VARIETY,Treatment,Mason Plot #,qGIS plot number,Plot Range,Plot Column,100 Seed weight,Moisture,Plot Weight,Yield,Flowering Date,Maturity Date,HAsum,HAmean,HAmean2row,AdjustedYield2row,spatialcv,Weighted Adjustment(0.5),WeightedYield,AlgoYieldSiE,AlgoYieldSi,AlgoYieldN,AlgoYield,Comments,Check,Planter,Planting Date,Plot Area,Actual Plants per ha,Stand %,Total weight,Plot size,Pallet,BOX,Row Spacing,Density  (plants/a),Plot Length,Existing Barcode,Seed Mass,Dry Weight,Name 2,Plants Selected,Population,Population Selections,Seed #,Org Name 2,Male parent,Female parent,F2 reps
24101-n,1C2A16BA08,1,,LODS,63,,"22""",75000,Apex,1,305,3005,3,5,28,22.8,1518,1880,2024-07-24,,123989,0.966934763,0.964814815,1948.560461,,0.907858553,2070.80717,1880,,,,,0,63,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F019EB283,1,,LODS,88,,"22""",100000,Zorro,30,306,3006,3,6,25,20.8,1322,1680,2024-07-22,2024-08-26,115942,0.913470116,0.94795539,1772.235294,,0.881393176,1906.0733,1680,,,,,0,88,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1275B49A02,2,,LODS,93,,"22""",75000,ETNA,6,307,3007,3,7,59,18.9,678,882,2024-07-19,2024-08-23,109193,0.810714286,0.974074074,905.4752852,,0.8591875,1026.551248,905.4752852,,,,,0,93,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1575F9896E,2,,LODS,118,,"22""",150000,Ronnies red,42,308,3008,3,8,76,21.8,790,991,2024-07-23,2024-09-02,113688,0.85841496,1,991,,0.873968764,1133.907802,991,,,,,0,118,,,,,,,,,,,,,,,,,,,,,,,
24101-n,19789DB30C,2,,LODS,123,,"22""",100000,CLERK,19,309,3009,3,9,67,20,696,893,2024-07-23,2024-09-02,128183,0.978533095,0.992592593,899.6641791,,0.921651831,968.912522,893,,,,,0,123,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1697EBC230,2,,LODS,148,,"30""",100000,T9905,73,310,3010,3,10,26,20.3,1889,2416,2024-07-22,2024-08-30,148816,0.979071955,0.976999395,2472.877684,,0.989535978,2441.548418,2416,,,,,0,148,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1FCFC7D6A5,2,,LODS,153,,"30""",75000,Nautica,53,311,3011,3,11,24,19.9,1686,2167,2024-07-24,2024-08-30,146210,0.961901566,0.906327715,2390.967378,,0.980950783,2209.081268,2167,,,,,0,153,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1335921DEC,2,,LODS,178,,"30""",150000,Windbreaker,89,312,3012,3,12,42,19.2,1618,2098,2024-07-19,2024-08-22,150232,0.988368421,0.999,2100.1001,,0.994184211,2110.272903,2098,,,,,0,178,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1C8C2E820A,3,,LODS,183,,"22""",150000,Apex,31,313,3013,3,13,28,20,2126,2729,2024-07-21,2024-09-01,125482,0.895628903,1,2729,,0.912764306,2989.818931,2729,,,,,0,183,,,,,,,,,,,,,,,,,,,,,,,
24101-n,1F4E4C5AF3,3,,LODS,208,,"22""",75000,Windbreaker,14,314,3014,3,14,45,18.4,925,1211,2024-07-20,2024-08-21,115221,0.799821269,0.910946197,1329.386965,,0.879021435,1377.668339,1329.386965,,,,,0,208,,,,,,,,,,,,,,,,,,,,,,,
