fid,id,Trial,Row,Column,MasonPlot#,,,716ExG_mean,716ExG_variance,716ExR_mean,716ExR_variance,716gNDVI_mean,716gNDVI_variance,716NDVI_mean,716NDVI_variance,716THRESH_mean,716THRESH_variance,716HA_mean,716HA_variance,716PLT_,,
fid,id,Trial,Row,Column,Combocode,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA Mean,PLT COUNT
85,3025,2501,17,5,,1705,,,70.6816075,1233.715465,-1268.792126,10175061.56,0.190272814,0.022101551,0.383165643,0.049432525,,,0.710453133,0.205709479,0.459237793,25
86,3026,2501,18,1,,1801,,,76.90442039,1429.301628,-1602.350206,11060012.14,0.213244818,0.020701075,0.41455828,0.049519909,,,0.742494069,0.191196627,0.391481063,18
87,3027,2501,18,2,,1802,,,84.43497819,1520.511257,-2132.506614,10553238.83,0.212384612,0.017148575,0.429759109,0.04317858,,,0.763685932,0.180469729,0.39299384,19
88,3028,2501,18,3,,1803,,,85.79617314,1440.995633,-2385.724739,9196994.569,0.223731613,0.015385423,0.444559087,0.037462484,,,0.796963585,0.161812629,0.490941567,20
89,3029,2501,18,4,,1804,,,67.68028787,1477.022065,-1112.126577,11407102.42,0.207531645,0.024090832,0.392720079,0.05599209,,,0.686775891,0.215114767,0.544617796,24
90,3030,2501,18,5,,1805,,,59.50670482,1115.532593,-785.9532026,8746415.81,0.199693429,0.021875556,0.374277181,0.048790742,,,0.678849823,0.218012741,0.330994259,10
91,4001,2501,19,1,,1901,,,69.51536804,1531.33739,-1176.355121,13354752.95,0.152536631,0.023548048,0.347718767,0.057053952,,,0.653748602,0.226361367,0.549260859,31
92,4002,2501,19,2,,1902,,,64.83881875,1203.096018,-1034.132567,10829110.43,0.187569627,0.026487756,0.376718891,0.057596261,,,0.687917542,0.214686998,0.373926833,16
93,4003,2501,19,3,,1903,,,62.23275721,1622.157754,-681.918919,13961045.08,0.169295854,0.030851285,0.348267231,0.070803551,,,0.628046453,0.233604106,0.202416973,8
94,4004,2501,19,4,,1904,,,63.07727545,1709.206277,-725.0468616,15201258.1,0.130158883,0.024977672,0.313095559,0.062826004,,,0.595708131,0.240839954,0.681777583,34
95,4005,2501,19,5,,1905,,,50.76025082,1216.914058,137.1802511,13424176.71,0.110839502,0.027154306,0.273642447,0.062101725,,,0.545174482,0.247959266,0.639537003,31
96,4006,2501,20,1,,2001,,,64.10935158,1556.321494,-656.8559068,15288086.69,0.150384338,0.028052428,0.330723273,0.065627808,,,0.619777045,0.23565346,0.245575342,7
97,4007,2501,20,2,,2002,,,63.48978701,1309.078334,-782.0841314,11269613.64,0.146125851,0.021484339,0.331154265,0.052582371,,,0.63293245,0.232328964,0.452855294,20
98,4008,2501,20,3,,2003,,,74.06502181,1281.166247,-2039.488964,8220727.175,0.234952492,0.017380778,0.447087359,0.041216492,,,0.756761178,0.184073698,0.236867048,7
99,4009,2501,20,4,,2004,,,79.94228986,1756.291329,-2432.715606,12807243.16,0.199228326,0.019770635,0.422192217,0.049095804,,,0.731222386,0.196536208,0.314947138,15
100,4010,2501,20,5,,2005,,,64.63408583,1008.663997,-1584.591968,7802745.811,0.217464707,0.017964947,0.418567546,0.040098956,,,0.736899504,0.193878625,0.33174146,18
101,4011,2501,21,1,,2101,,,82.58180678,1630.898634,-2391.070015,12899332.53,0.181715806,0.019538958,0.406610202,0.047731274,,,0.737378694,0.193651356,0.609992162,20
102,4012,2501,21,2,,2102,,,62.01720002,1679.483513,-500.5745626,14632991.66,0.125176764,0.027850712,0.303678956,0.067080452,,,0.583601374,0.24301081,0.179090876,5
103,4013,2501,21,3,,2103,,,67.75867052,1407.800332,-1244.403304,11628730.81,0.178850629,0.02497253,0.373187724,0.057053301,,,0.663512924,0.223263524,0.302524378,16
104,4014,2501,21,4,,2104,,,51.41313057,1339.861237,316.5683533,14160664.81,0.118190945,0.032650737,0.273933546,0.071233531,,,0.531136729,0.249030504,0.555859354,28
105,4015,2501,21,5,,2105,,,59.12977349,1353.441305,-610.3846533,11386383.53,0.166768869,0.027903041,0.343754429,0.061330877,,,0.623572383,0.234729866,0.349640026,15
106,4016,2501,22,1,,2201,,,69.0827652,1404.522547,-966.015113,12490402.48,0.185283851,0.022380585,0.371077272,0.054526282,,,0.682056177,0.216855549,0.487550581,23
107,4017,2501,22,2,,2202,,,56.70624318,1170.758554,-113.3078195,11611998.41,0.171684826,0.026448765,0.333147541,0.060384531,,,0.617502726,0.236193109,0.401071663,21
108,4018,2501,22,3,,2203,,,69.2276793,1266.954462,-1315.603931,10278389.71,0.206030924,0.019645661,0.398092607,0.048129748,,,0.703845105,0.208447173,0.287109945,11
109,4019,2501,22,4,,2204,,,61.59601385,1240.175291,-698.1579196,12252570.42,0.161651624,0.02304739,0.340697102,0.054368018,,,0.641900919,0.229864129,0.617360238,34
110,4020,2501,22,5,,2205,,,57.00798517,1311.911718,-267.4922075,12975874.77,0.141028129,0.025878901,0.312218905,0.060617621,,,0.593410187,0.241274537,0.549779447,23
111,4021,2501,23,1,,2301,,,57.17120898,1440.391869,141.5746436,15162206.71,0.108709885,0.030131273,0.272375282,0.068657008,,,0.530960427,0.249041452,0.669783465,31
112,4022,2501,23,2,,2302,,,64.87823764,1267.782546,-1014.130034,11166269.09,0.190005282,0.023781638,0.376232714,0.054010763,,,0.673428213,0.219922655,0.219206795,8
113,4023,2501,23,3,,2303,,,72.39005642,1700.799147,-1294.511778,14181929.39,0.184396255,0.026130599,0.380114022,0.06267319,,,0.665930711,0.222466999,0.294812438,9
114,4024,2501,23,4,,2304,,,65.35920159,1137.774309,-1132.255343,11026528.87,0.185416627,0.018785446,0.375518282,0.045593961,,,0.699288305,0.210284172,0.50506689,23
115,4025,2501,23,5,,2305,,,68.11385572,1363.852733,-1349.886051,12442578.63,0.169256244,0.020742427,0.367186599,0.050721354,,,0.679017395,0.217952772,0.430696318,16
116,4026,2501,24,1,,2401,,,63.5519084,1025.441144,-2073.868037,5848312.526,0.23967795,0.0199895,0.456637566,0.038251607,,,0.749509269,0.187745125,0.230721563,9
117,4027,2501,24,2,,2402,,,63.39196555,1225.379776,-1822.592091,6002648.361,0.248220835,0.024842337,0.456854504,0.046847332,,,0.718521749,0.202248245,0.111718707,3
118,4028,2501,24,3,,2403,,,61.18540122,1342.995554,-1667.178516,6492676.606,0.232441149,0.025004109,0.436291504,0.047933192,,,0.686137157,0.215352959,0.14143016,3
119,4029,2501,24,4,,2404,,,74.10094319,1416.026148,-2545.105407,6928264.278,0.269981628,0.018950954,0.495845133,0.038165257,,,0.775215353,0.17425651,0.161666606,6
120,4030,2501,24,5,,2405,,,66.42512881,1262.471911,-2119.339237,6892554.632,0.247715476,0.022263233,0.463637763,0.043286819,,,0.733391489,0.195528413,0.106175495,3
121,1001,2502,1,1,,101,,,66.21681983,1147.625619,-1560.931897,5227364.168,0.272031819,0.025485521,0.468061919,0.046002997,,,0.743993892,0.190466981,0.098897293,1
122,1002,2502,1,2,,102,,,67.73027338,1125.414778,-1612.653989,5175703.442,0.268258698,0.021012642,0.466174561,0.039826327,,,0.75946469,0.182678075,0.20366725,7
123,1003,2502,1,3,,103,,,69.23755113,1281.973267,-1623.74768,5564901.231,0.269094185,0.023195227,0.466941579,0.044118696,,,0.750777202,0.187110795,0.192997485,5
124,1004,2502,1,4,,104,,,54.63614556,977.0108565,-785.4638681,5437931.571,0.24848463,0.030200439,0.422192876,0.051620304,,,0.685048385,0.215757095,0.239281808,10
125,1005,2502,1,5,,105,,,63.65787035,1270.48913,-1370.310817,6867120.574,0.244364986,0.027807216,0.437843653,0.051164337,,,0.71672755,0.203029169,0.397116454,12
126,1007,2502,2,1,,201,,,59.62325835,1182.443724,-310.2475524,10375839.66,0.166212548,0.026355492,0.33551475,0.058662191,,,0.625085208,0.234353691,0.53460564,17
127,1008,2502,2,2,,202,,,53.25378953,927.9858362,41.11155984,9382482.008,0.167111551,0.026602822,0.324526519,0.056548974,,,0.612295529,0.237389714,0.540682415,28
128,1009,2502,2,3,,203,,,56.65721839,1069.956225,34.46414659,10010740.16,0.154392421,0.028943177,0.316092291,0.060472729,,,0.60810553,0.238313194,0.629606678,47
129,1010,2502,2,4,,204,,,57.55835197,970.1880795,-461.9304027,8029165.016,0.229871196,0.030135071,0.396262847,0.058403901,,,0.675846649,0.219077956,0.380618234,11
130,1011,2502,2,5,,205,,,55.71097903,1062.044088,-244.5159246,10148840.29,0.194788017,0.02926883,0.36000894,0.059910431,,,0.641048011,0.230105459,0.354816367,14
131,1013,2502,3,1,,301,,,67.38185436,1443.10664,-1029.212869,12520047.59,0.128774463,0.023471746,0.324911487,0.058430128,,,0.629346997,0.233269354,0.621411778,22
132,1014,2502,3,2,,302,,,55.10568795,910.8897408,-370.5686532,9601556.262,0.159816696,0.029950601,0.332838665,0.062092043,,,0.61662213,0.236399279,0.584903941,22
133,1015,2502,3,3,,303,,,52.82503475,969.968079,10.73829423,10831618.21,0.134853803,0.031197728,0.299946662,0.065788277,,,0.586814924,0.242463169,0.464519422,18
134,1016,2502,3,4,,304,,,57.14712055,1126.25281,-232.8020332,11977369.09,0.148568053,0.027834081,0.318909796,0.061706941,,,0.609413753,0.238028631,0.692013269,35
135,1017,2502,3,5,,305,,,61.57309527,1101.217752,-656.3726538,11656043.03,0.163774677,0.023435942,0.345293781,0.053881506,,,0.662641407,0.223547773,0.7149887,40
136,1019,2502,4,1,,401,,,81.01101838,1243.606381,-1873.841121,8333794.86,0.228268802,0.017734383,0.43764111,0.041631547,,,0.785359734,0.168569822,0.462407728,18
137,1020,2502,4,2,,402,,,78.37976823,1566.609041,-1386.018044,12015445.65,0.171733774,0.021730798,0.37224107,0.05366203,,,0.708275392,0.206621361,0.366390231,13
138,1021,2502,4,3,,403,,,72.49603164,1224.339279,-1385.658972,7818553.91,0.221925523,0.018446752,0.416366024,0.04300995,,,0.744961135,0.189994043,0.410308752,14
139,1022,2502,4,4,,404,,,71.43495691,1282.509596,-1279.053846,8797194.086,0.212182287,0.022719083,0.404860797,0.049993769,,,0.722591906,0.200452843,0.326072691,12
140,1023,2502,4,5,,405,,,65.25946727,1350.416632,-823.9297365,12684154.19,0.171405378,0.026717912,0.356072816,0.060798322,,,0.669811064,0.221164203,0.335550898,14
