fid,id,Trial,Row,Column,Combocode,VarietyName,MasonPlot#,Date,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,HA_Mean,PLTCount,Yield,HACorrectedYield,HACorrected85Yield,Perplantyield,PeakStand
75,3015,2501,15,5,25011505,N24803,1505,6/12/2025,13,6.006275692,48.11886991,1105.572222,1339754.566,0.191684067,0.003092353,0.059880072,0.001486884,-0.027186946,0.000214663,0.052918608,0.050118229,0.967941241,68,2980.355747,3079.066808,2617.206787,43.82876099,0.773698555
76,3016,2501,16,1,25011601,N24834,1601,6/12/2025,13,3.440018629,32.79446678,1075.401485,1500024.806,0.182590436,0.002813367,0.049117772,0.001436579,-0.02997882,0.00024729,0.045941429,0.043830815,0.980004375,82,2414.168235,2463.425978,2093.912081,29.44107604,0.736477077
77,3017,2501,16,2,25011602,I22001,1602,6/12/2025,13,3.38437089,24.88289251,1023.434744,1349021.411,0.185758803,0.003155931,0.051542973,0.001661047,-0.032835801,0.000292472,0.052334502,0.049595602,0.987442132,90,2240.757874,2269.254878,1928.866646,24.89730971,0.699738191
78,3018,2501,16,3,25011603,N24811,1603,6/12/2025,13,3.299975344,28.72370134,1045.830228,1293174.084,0.187891523,0.002815009,0.054529028,0.001693623,-0.033652489,0.000435819,0.04742076,0.045172031,0.953741001,64,2636.690297,2764.576856,2349.890327,41.19828589,0.623180108
79,3019,2501,16,4,25011604,N24842,1604,6/12/2025,13,4.142344367,32.37219205,922.0311158,1575474.968,0.192175278,0.003340212,0.055011948,0.001890686,-0.033414548,0.000434027,0.059458571,0.055923249,0.963270812,80,2877.6244,2987.347239,2539.245153,35.970305,0.766157879
80,3020,2501,16,5,25011605,N23717,1605,6/12/2025,13,3.708019398,13.05162779,1158.600367,1032603.802,0.185684126,0.001923785,0.054501898,0.001427201,-0.030500496,0.000233371,0.034384504,0.03320221,0.981718098,90,2914.114053,2968.381717,2523.12446,32.37904504,0.70392082
81,3021,2501,17,1,25011701,N11283,1701,6/12/2025,13,3.220160605,14.74449667,1214.956083,1146707.881,0.179504744,0.00252612,0.050358674,0.001471958,-0.031611203,0.000418639,0.04426234,0.042303185,0.969705807,75,2709.284329,2793.924001,2374.835401,36.12379105,0.720222817
82,3022,2501,17,2,25011702,N24828,1702,6/12/2025,13,3.682916804,26.55798614,1171.584616,1089007.184,0.183590392,0.002804287,0.053719957,0.001460637,-0.033819441,0.000421418,0.049188863,0.046769319,0.974282798,72,2927.747335,3005.028254,2554.274016,40.66315743,0.734436435
83,3023,2501,17,3,25011703,N22616,1703,6/12/2025,13,4.913131645,44.12168769,973.6247506,1614169.071,0.19202882,0.003671635,0.056484496,0.001656319,-0.034211088,0.000339181,0.06165735,0.057855721,0.957477445,59,3110.537402,3248.679558,2761.377624,52.72097291,0.78084287
84,3024,2501,17,4,25011704,N24844,1704,6/12/2025,13,5.121254451,33.65100538,935.0090822,1869478.415,0.190230002,0.003015682,0.05317513,0.001512288,-0.033737885,0.000319608,0.053382635,0.050532929,0.980733126,74,3121.350394,3182.670507,2705.269931,42.18041073,0.717004314
85,3025,2501,17,5,25011705,N22610,1705,6/12/2025,13,5.46753389,34.0793718,975.7200164,1137510.095,0.183367416,0.002419806,0.04724439,0.001194108,-0.033107499,0.000240301,0.040586061,0.038938832,0.973059186,75,3045.905944,3130.237079,2660.701517,40.61207925,0.753782293
86,3026,2501,18,1,25011801,N24847,1801,6/12/2025,13,3.618206224,29.48701348,1089.383005,1386832.694,0.187328312,0.00269316,0.054436283,0.001337992,-0.028117747,0.000270249,0.046679816,0.044500811,0.977015475,90,3802.077012,3891.521792,3307.793523,42.24530013,0.757858801
87,3027,2501,18,2,25011802,N21511,1802,6/12/2025,13,4.592828969,56.66890552,953.9321904,1539441.885,0.192893868,0.003799666,0.057216867,0.001646651,-0.028696684,0.00032235,0.062671195,0.058743517,0.979092616,74,2743.861629,2802.453603,2382.085562,37.0792112,0.766445482
88,3028,2501,18,3,25011803,N22602,1803,6/12/2025,13,5.333068493,61.30421606,841.7953918,1929467.303,0.196332641,0.00383567,0.057313277,0.00185383,-0.026322557,0.000369134,0.06509589,0.060858415,0.96790362,58,2909.808719,3006.300069,2555.355059,50.16911585,0.808361323
89,3029,2501,18,4,25011804,I21920,1804,6/12/2025,13,5.382583438,30.61046665,858.1104948,1625122.194,0.192613156,0.00327812,0.053600872,0.001779736,-0.025272794,0.000306309,0.057708116,0.05437789,0.980862465,82,1766.879585,1801.353042,1531.150086,21.54731201,0.686775891
90,3030,2501,18,5,25011805,N24816,1805,6/12/2025,13,6.410870339,49.92515044,811.0156862,1419235.064,0.193339673,0.003716463,0.052796579,0.001729731,-0.024221127,0.000223222,0.06377558,0.059708255,0.94480697,68,2921.782696,3092.465221,2628.595438,42.96739259,0.759011469
91,4001,2501,19,1,25011901,N11283,1901,6/12/2025,13,3.508521482,17.79009617,1110.084278,1195242.138,0.183980643,0.00289312,0.051519056,0.001570762,-0.031340652,0.000247832,0.049923279,0.047430945,0.98228411,81,2411.347945,2454.837577,2086.61194,29.76972772,0.666175186
92,4002,2501,19,2,25011902,N22623,1902,6/12/2025,13,4.669899189,39.21718949,917.2727156,1294801.839,0.189041314,0.003939804,0.051808263,0.001864567,-0.032625498,0.000292897,0.063938199,0.059850105,0.982247334,79,3537.513347,3601.448661,3061.231362,44.77864997,0.701207189
