fid,id,Trial,Row,Column,Combocode,MasonPlot#,DAS,ExG_Mean,ExG_Var,ExR_Mean,ExR_Var,NDVI_Mean,NDVI_Var,gNDVI_Mean,gNDVI_Var,NDRE_mean,NDRE_Var,THRESH_mean,THRESH_Var,612PLTCOUNT,6-12HA_mean,,NDRE_mean,NDRE_Var
59,2029,2501,12,4,25011204,1204,25,9.658176944,148.7449779,1048.244953,2401927.038,0.213350141,0.014746805,0.07970199,0.00885225,-0.026557181,0.000780366,0.17464573,0.144144599,0.743347186,29,,,
60,2030,2501,12,5,25011205,1205,25,8.696919963,111.3487574,1160.47351,1937519.392,0.196540562,0.010000329,0.064717721,0.005761544,-0.029408036,0.000535373,0.131352919,0.114099329,0.858827604,34,,,
61,3001,2501,13,1,25011301,1301,25,10.7687553,211.3421171,656.2404508,2763572.204,0.213800064,0.018270982,0.068050965,0.011103061,-0.030529423,0.00102241,0.203867298,0.162305423,0.729498186,39,,,
62,3002,2501,13,2,25011302,1302,25,9.465125821,169.2352718,840.961778,2289351.122,0.207414077,0.016712374,0.067435875,0.010492873,-0.030968432,0.00105426,0.182877462,0.149433296,0.508858591,15,,,
63,3003,2501,13,3,25011303,1303,25,9.327058308,145.4862963,930.7288262,2285715.319,0.206123865,0.014336725,0.069560164,0.009075432,-0.028583694,0.001037402,0.178509864,0.146644092,0.658591714,29,,,
64,3004,2501,13,4,25011304,1304,25,7.652756508,94.86476433,1157.176854,1934025.854,0.188573628,0.009994351,0.057191827,0.006369287,-0.030352082,0.000840097,0.133094509,0.115380361,0.891803219,53,,,
65,3005,2501,13,5,25011305,1305,25,11.30095441,270.006864,747.4048731,3307362.038,0.219838666,0.016291446,0.077176089,0.008241501,-0.025322073,0.000827966,0.200508655,0.160304934,0.543673216,18,,,
66,3006,2501,14,1,25011401,1401,25,13.21240051,381.3707983,445.4499408,4121385.537,0.228784073,0.023519528,0.078026971,0.013515278,-0.023770243,0.001589287,0.24098132,0.182909323,0.634938573,24,,,
67,3007,2501,14,2,25011402,1402,25,9.468776498,181.2643702,736.1809404,2241500.474,0.20432312,0.017440341,0.061301201,0.010742997,-0.028163562,0.001223805,0.197297519,0.158371208,0.652006707,24,,,
68,3008,2501,14,3,25011403,1403,25,10.90325581,251.1838006,755.8449085,3014489.946,0.213968085,0.018014635,0.071972722,0.009965453,-0.025645911,0.001009483,0.205307798,0.163156506,0.514071671,18,,,
69,3009,2501,14,4,25011404,1404,25,10.45381943,200.7912035,872.1391077,2920086.08,0.211955887,0.017133666,0.072638747,0.009512358,-0.024106354,0.000913679,0.201050242,0.160629042,0.663555831,27,,,
70,3010,2501,14,5,25011405,1405,25,10.60339122,190.8350165,916.6168959,2748161.939,0.219686442,0.017155418,0.082246972,0.009519281,-0.020329458,0.000868807,0.212006017,0.167059466,0.693835891,32,,,
71,3011,2501,15,1,25011501,1501,25,10.74158348,246.6416306,656.794771,2870778.709,0.206734643,0.019516284,0.061156095,0.011687467,-0.02899747,0.001147395,0.198577875,0.159144703,0.741361085,30,,,
72,3012,2501,15,2,25011502,1502,25,9.040300958,174.7518916,904.9444815,2175032.49,0.193491695,0.015073884,0.054192767,0.008933987,-0.032676616,0.00090199,0.165389877,0.138036066,0.814887722,37,,,
73,3013,2501,15,3,25011503,1503,25,9.833219375,207.2421566,861.0648741,2752826.464,0.206375994,0.017802201,0.067586808,0.010742602,-0.029919376,0.001639724,0.194431529,0.15662791,0.744695589,36,,,
74,3014,2501,15,4,25011504,1504,25,7.912006781,107.9541396,1051.724842,2176071.766,0.186997291,0.014257931,0.052462223,0.009528227,-0.032662017,0.001675946,0.154275245,0.130474394,0.837075785,47,,,
75,3015,2501,15,5,25011505,1505,25,11.24629356,226.5663431,698.8871491,3325102.796,0.214000617,0.018425268,0.06989378,0.010366514,-0.027412341,0.001371554,0.215657312,0.169149236,0.644297015,27,,,
76,3016,2501,16,1,25011601,1601,25,10.94071135,265.07695,778.5972968,3470497.552,0.208738933,0.020024319,0.066990025,0.011177094,-0.031671745,0.001157976,0.202079343,0.161243282,0.736230088,31,,,
77,3017,2501,16,2,25011602,1602,25,10.29357873,185.5886187,815.226216,2593636.116,0.216122985,0.020442415,0.075702862,0.012224832,-0.030482783,0.00100903,0.215063173,0.168811005,0.678161339,23,,,
