fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,NDVI_mean,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m
1562,2024/06/04,02:33:31pm,4.710000000000000,"905",D5,45.432906359999997,-73.938884970000004,39.020000000000003,"0","0",,"1",50093c0b5d6e7315,5,3,"213","213",0.308354792869063,65743.873978112678742,0.185885548619636,0.741174458230813,25.000000000000000,0.616632409224834
1563,2024/06/04,02:33:44pm,4.710000000000000,"905",D3,45.432879380000003,-73.938965809999999,39.020000000000003,"0","0",,"1",50093c18201d5006,5,2,"206","206",0.288813031498902,65176.685724359937012,0.139060653350659,0.992986934382442,80.000000000000000,0.578224147882618
1564,2024/06/04,02:33:57pm,4.710000000000000,"905",D1,45.432852470000000,-73.939046630000007,39.020000000000003,"0","0",,"1",50093c255287cdd6,5,1,"113","113",0.252988279738725,61203.897865505285154,0.065830454910513,0.978144161688466,68.000000000000000,0.506352087343807
1565,2024/06/04,02:34:09pm,4.710000000000000,"905",D-1,45.432825549999997,-73.939127520000000,39.020000000000003,"0","0",,"1",50093c313a5b4233,5,0,"106","106",0.295271356554773,65060.321802154750912,0.124231145935357,0.990539473684211,80.000000000000000,0.590510697696203
1566,2024/06/04,02:35:04pm,4.710000000000000,"905",U-1,45.432800960000002,-73.939110929999998,39.020000000000003,"0","0",,"1",50093c68674bddc2,6,0,"107","107",0.309808629470033,65202.791056958347326,0.153466930465500,0.901381578947368,52.000000000000000,0.619751407676082
1567,2024/06/04,02:35:17pm,4.710000000000000,"905",U1,45.432827260000003,-73.939029640000001,39.020000000000003,"0","0",,"1",50093c751594fd99,6,1,"114","114",0.281377335702170,65198.473160125104187,0.116370332160184,0.829839866314030,33.000000000000000,0.562583208607844
1568,2024/06/04,02:35:30pm,4.710000000000000,"905",U3,45.432854650000003,-73.938949129999997,39.020000000000003,"0","0",,"1",50093c8200f4da49,6,2,"207","207",0.350322218411552,69752.236262014208478,0.248354575846218,0.966315789473684,57.000000000000000,0.700335567312710
1569,2024/06/04,02:35:42pm,4.710000000000000,"905",U5,45.432881389999999,-73.938868040000003,39.020000000000003,"0","0",,"1",50093c8e6f31b554,6,3,"214","214",0.356381889281564,69582.888885986845708,0.274360263534205,0.738364978486559,26.000000000000000,0.712990557294290
1570,2024/06/04,02:35:55pm,4.710000000000000,"905",U7,45.432908560000001,-73.938787390000002,39.018999999999998,"0","0",,"1",50093c9b5b838619,6,4,"307","307",0.370244961673104,71258.467933398627792,0.290950048971596,0.821489190931698,36.000000000000000,0.740875447160675
1571,2024/06/04,02:36:07pm,4.710000000000000,"905",U9,45.432935510000000,-73.938706580000002,39.018999999999998,"0","0",,"1",50093ca71aaea32f,6,5,"314","314",0.313366017992070,66803.604716913367156,0.205196178934516,0.952656648859181,55.000000000000000,0.626630614563343
1572,2024/06/04,02:36:20pm,4.710000000000000,"905",U11,45.432962220000000,-73.938625529999996,39.018999999999998,"0","0",,"1",50093cb463aa4ae6,6,6,"407","407",0.341301503523632,68794.851702883403050,0.247943219807773,0.658613929130646,18.000000000000000,0.682631778297511
1573,2024/06/04,02:36:33pm,4.710000000000000,"905",U13,45.432989100000000,-73.938544620000002,39.018999999999998,"0","0",,"1",50093cc1072c464e,6,7,"414","414",0.259098458669817,64675.351337586274894,0.102135828506879,0.620034474137818,31.000000000000000,0.518604425833923
77777,2025/04/24,,,,,,,,,,,,,,,,,0.116508860845836,,0.000000000000000,0.964982624966586,1.000000000000000,0.236111903923789
