Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
24112,8,HA,0.5128337793,0.0422187744,0.5575288169,0.0248407379
24112,8,NDRE,-0.095801039,0.7241388344,0.1069620876,0.6933768301
24112,8,NDVI,-0.072828615,0.7886692607,0.1869366739,0.4881584034
24112,8,PlantCount,0.4872104716,0.0556039638,0.5613906919,0.0236499651
24112,8,SAVI,-0.072816598,0.7887033937,0.1869364134,0.4881590205
24112,8,Thresh,0.5473064355,0.0282152225,0.5443133097,0.0292665837
24112,13,ExG,0.6609925956,0.0053055384,0.5430963184,0.029702502
24112,13,ExR,-0.598768862,0.0142569547,-0.328068842,0.2147842791
24112,13,GNDVI,0.2780506183,0.2970747297,0.5028831287,0.047092737
24112,13,HA,0.513596654,0.0418613903,0.8947531785,2.8920766E-6
24112,13,NDRE,-0.140065331,0.6048932349,0.1504785777,0.5780248125
24112,13,NDVI,0.6300704035,0.0088948394,0.7320768191,0.0012630247
24112,13,PlantCount,0.6278789707,0.0092080961,0.6091279204,0.0122598419
24112,13,SAVI,0.2948389215,0.2676191526,0.5180182923,0.0398345174
24112,13,Thresh,0.8039954872,0.0001743865,0.62273069,0.009978372
24112,23,ExG,0.7727158956,0.0004494669,0.6264050157,0.0094236507
24112,23,ExR,-0.62250201,0.0100137291,-0.572909104,0.0203576966
24112,23,GNDVI,0.651065604,0.0063006166,0.7148163064,0.0018583071
24112,23,HA,0.013028235,0.9618061409,0.8291530697,0.0000715883
24112,23,NDRE,0.367054844,0.1619601238,0.6227141042,0.0099809331
24112,23,NDVI,0.6845870295,0.0034379698,0.6958464012,0.002756891
24112,23,PlantCount,-0.157318472,0.5606533141,0.5264197201,0.0361877969
24112,23,SAVI,0.8351343317,0.0000567298,0.563374345,0.0230556485
24112,23,Thresh,0.7423131978,0.0009908561,0.6876826559,0.0032385136
24112,27,ExG,0.6897757509,0.0031090197,0.7286920571,0.0013653927
24112,27,ExR,-0.758197498,0.0006647977,-0.713799219,0.0018994734
24112,27,GNDVI,0.7268364279,0.0014243233,0.7206027358,0.0016376662
24112,27,HA,0.0424580384,0.8759345311,0.8537654303,0.0000258164
24112,27,NDRE,0.7447167766,0.0009344831,0.7027859535,0.0023945915
24112,27,NDVI,0.7171571189,0.0017663129,0.7475446174,0.0008715503
24112,27,PlantCount,-0.368773535,0.1598541016,0.425219357,0.1006037051
24112,27,SAVI,0.717157222,0.0017663089,0.7475440061,0.0008715635
24112,27,Thresh,0.7294662366,0.001341402,0.7363246884,0.0011435059
24112,35,ExG,0.4681380535,0.0674338908,0.8985204906,2.2639958E-6
24112,35,ExR,-0.632577027,0.0085469274,-0.810550881,0.0001400209
24112,35,GNDVI,0.6335236994,0.0084183712,0.8157100742,0.0001171144
24112,35,HA,-0.450341822,0.0800381416,0.4890837723,0.0545309357
24112,35,NDRE,0.7939005119,0.0002408128,0.4411004372,0.0872144945
24112,35,NDVI,0.5213996615,0.0383350171,0.8942928167,2.9780392E-6
24112,35,PlantCount,-0.643307299,0.0071773951,0.3547804614,0.1775414982
24112,35,SAVI,,,,
24112,35,Thresh,0.4640882688,0.0701653557,0.9089533655,1.0900468E-6
24112,40,ExG,0.3150232208,0.2346608998,0.9500758155,1.8156014E-8
24112,40,ExR,-0.422443173,0.1030854393,-0.818670282,0.000105444
24112,40,GNDVI,0.602404394,0.0135290828,0.8413338141,0.0000441413
24112,40,HA,0.228770941,0.3940804205,0.7067132533,0.0022073013
24112,40,NDRE,0.3830459903,0.1430733515,0.1544721894,0.5678547792
24112,40,NDVI,0.4270286482,0.0990092327,0.9838861151,7.249517E-12
24112,40,PlantCount,0.147547308,0.585537528,0.4459668733,0.0833803315
24112,40,SAVI,0.4271150092,0.0989335757,0.9838136866,7.47928E-12
24112,40,Thresh,0.3710066344,0.157145305,1,0
