fid,Date,Time,Version,Id,Name,Latitude,Longitude,Height,AlarmRad,WarningRad,Status_Txt,Visible,UniqueID,joined_row,joined_col,joined_Plo,joined_P_1,628NDVI_me,SAVI_mean,THRESH_mea,HArea_mean,PLTCOUNT,6-28SAVI_m,628NDVIvariance,628gNDVI_mean,628gNDVI_variance,628gNDRE_mean,628gNDRE_variance,628gExG_mean,628gExG_variance,628gExR_mean,628gExR_variance
"1560",2024/06/04,02:33:06pm,4.71,"905",D9,45.43296038,-73.93872333,39.02,"0","0",,"1",50093bf2355ce56d,5,5,"313","313",0.341039091115969,68897.5668327337,0.260122362896749,0.900606570966171,37,0.681838833051546,0.0444112649045836,0.112839081974172,0.0171104574990867,-0.0209201929688186,0.0034409871101113,6120.06538644867,99283926.4016392,12568.3164374709,68797560.4939851
"1561",2024/06/04,02:33:19pm,4.71,"905",D7,45.43293318,-73.93880404,39.02,"0","0",,"1",50093bff4709aa8e,5,4,"306","306",0.362860836927905,69442.9643220937,0.283026875963121,0.912801484230056,48,0.725646182470193,0.0480867615992811,0.134581408697146,0.0198275980562021,-0.0161208330576967,0.00327196937684754,6455.91909133648,104280015.496646,11847.1105570652,66968747.1400911
"1562",2024/06/04,02:33:31pm,4.71,"905",D5,45.43290636,-73.93888497,39.02,"0","0",,"1",50093c0b5d6e7315,5,3,"213","213",0.308354792869063,65743.8739781127,0.185885548619636,0.741174458230813,25,0.616632409224834,0.0349752243158596,0.098696838362245,0.0137734776955048,-0.0248397255556746,0.00275842617384275,5054.87455272024,77704592.9708773,13472.8808989639,56725316.6183583
"1563",2024/06/04,02:33:44pm,4.71,"905",D3,45.43287938,-73.93896581,39.02,"0","0",,"1",50093c18201d5006,5,2,"206","206",0.288813031498902,65176.6857243599,0.139060653350659,0.992986934382442,80,0.578224147882618,0.026423064489172,0.0930306799374298,0.0136440231146923,-0.0253103644410775,0.00227057231351482,2982.22653755493,32538036.0975949,14919.6028171181,47311930.7467352
"1564",2024/06/04,02:33:57pm,4.71,"905",D1,45.43285247,-73.93904663,39.02,"0","0",,"1",50093c255287cdd6,5,1,"113","113",0.252988279738725,61203.8978655053,0.065830454910513,0.978144161688466,68,0.506352087343807,0.0133801898573138,0.0588444424235156,0.00738174002775303,-0.0278654302216997,0.00179433947824476,2520.99307872622,14572807.0111374,15649.2506088387,35862082.2837116
"1565",2024/06/04,02:34:09pm,4.71,"905",D-1,45.43282555,-73.93912752,39.02,"0","0",,"1",50093c313a5b4233,5,0,"106","106",0.295271356554773,65060.3218021548,0.124231145935357,0.990539473684211,80,0.590510697696203,0.0216183565736293,0.0948363114504833,0.011927408180879,-0.0186713562341367,0.00196749436405674,2810.94230492981,19475190.5942684,14923.8115488902,41984031.8069007
"1566",2024/06/04,02:35:04pm,4.71,"905",U-1,45.43280096,-73.93911093,39.02,"0","0",,"1",50093c68674bddc2,6,0,"107","107",0.309808629470033,65202.7910569583,0.1534669304655,0.901381578947368,52,0.619751407676082,0.0267134253943917,0.0997233713101942,0.0135145991114186,-0.0189298302852021,0.00239457218255136,3432.34288624655,40053240.2837816,14684.8956572091,47162253.3683209
"1567",2024/06/04,02:35:17pm,4.71,"905",U1,45.43282726,-73.93902964,39.02,"0","0",,"1",50093c751594fd99,6,1,"114","114",0.28137733570217,65198.4731601251,0.116370332160184,0.82983986631403,33,0.562583208607844,0.0215263401539624,0.0724543685528204,0.00949225765868489,-0.0223929083146947,0.00203183118359416,3498.52906646468,42701482.6941862,15582.6678627466,43754403.340667
"1568",2024/06/04,02:35:30pm,4.71,"905",U3,45.43285465,-73.93894913,39.02,"0","0",,"1",50093c8200f4da49,6,2,"207","207",0.350322218411552,69752.2362620142,0.248354575846218,0.966315789473684,57,0.70033556731271,0.0411889926347082,0.126199232442326,0.01755312428932,-0.0190170937246768,0.00280169994843015,5949.28442984747,91670134.0105583,13296.8445718184,65938317.4614598
"1569",2024/06/04,02:35:42pm,4.71,"905",U5,45.43288139,-73.93886804,39.02,"0","0",,"1",50093c8e6f31b554,6,3,"214","214",0.356381889281564,69582.8888859868,0.274360263534205,0.738364978486559,26,0.71299055729429,0.0445018615611299,0.123051773843563,0.0163140888978939,-0.0246255286011786,0.00311626144997842,6817.60764353669,103877965.405184,12335.6127412035,65590071.0212447
"1570",2024/06/04,02:35:55pm,4.71,"905",U7,45.43290856,-73.93878739,39.019,"0","0",,"1",50093c9b5b838619,6,4,"307","307",0.370244961673104,71258.4679333986,0.290950048971596,0.821489190931698,36,0.740875447160675,0.0501539277502405,0.134562396008564,0.0194797854446674,-0.0198980947812959,0.00312412344503117,6980.53151811949,109521884.594552,11801.9489843693,67527284.480204
"1571",2024/06/04,02:36:07pm,4.71,"905",U9,45.43293551,-73.93870658,39.019,"0","0",,"1",50093ca71aaea32f,6,5,"314","314",0.31336601799207,66803.6047169134,0.205196178934516,0.952656648859181,55,0.626630614563343,0.0366353748701526,0.0980002126401406,0.014628052372626,-0.0247095195942206,0.00308450798991356,5304.56332639029,84273771.8251239,13120.0394386168,61544483.692789
"1572",2024/06/04,02:36:20pm,4.71,"905",U11,45.43296222,-73.93862553,39.019,"0","0",,"1",50093cb463aa4ae6,6,6,"407","407",0.341301503523632,68794.8517028834,0.247943219807773,0.658613929130646,18,0.682631778297511,0.0438090885245104,0.114947708945745,0.0160228380241697,-0.0232210299431822,0.00306126203340625,6927.05457323443,124479529.060828,12326.1017756105,55743475.2832392
"1573",2024/06/04,02:36:33pm,4.71,"905",U13,45.4329891,-73.93854462,39.019,"0","0",,"1",50093cc1072c464e,6,7,"414","414",0.259098458669817,64675.3513375863,0.102135828506879,0.620034474137818,31,0.518604425833923,0.0223082356717629,0.0695068997089323,0.0106257621749379,-0.0303638782270333,0.00224304955578097,3125.81089004825,45222226.4359223,15156.7000157722,44192903.9367826
"77777",2025/04/24,,,,,,,,,,,,,,,,,0.116508860845836,,0,0.964982624966586,1,0.236111903923789,0.0201445863914913,-0.122519228120269,0.0368788005253017,-0.0614024645206132,0.00925054889848338,-376.277202760085,3016697.53953337,15916.95761664,56355948.3044343
