Trial,DAS,Variable,Yield_r,Yield_p,PeakStand_r,PeakStand_p
25106,37,GNDVI,0.0886675107,0.744012917,0.8517274145,0.0000282815
25106,37,HA,-0.088737253,0.7438178577,0.3644115774,0.1652352222
25106,37,NDVI,0.0765806882,0.7780292802,0.9259900811,2.6774063E-7
25106,37,PlantCount,0.0130028346,0.9618805547,0.4475241512,0.0821793812
25106,37,Thresh,-0.002751459,0.9919311469,0.9647482043,1.6524583E-9
25106,42,ExG,-0.059368731,0.8271150942,0.8935685118,3.117651E-6
25106,42,ExR,-0.047662267,0.8608577082,-0.974445542,1.783695E-10
25106,42,GNDRE,-0.047662267,0.8608577082,-0.974445542,1.783695E-10
25106,42,GNDVI,0.0320268664,0.9062698415,0.8619147052,0.0000176777
25106,42,HA,-0.027981507,0.9180692989,0.1397897884,0.6056108921
25106,42,NDVI,-0.010756884,0.9684614752,0.9675479084,9.328169E-10
25106,42,PlantCount,-0.170286187,0.5283519602,0.098941784,0.7154399733
25106,42,Thresh,-0.024967149,0.9268721074,1,0
25107,10,ExG,-0.246268329,0.2818725588,-0.034192577,0.8830232084
25107,10,ExR,-0.246268329,0.2818725588,-0.034192577,0.8830232084
25107,10,GNDRE,0.308348863,0.1738554305,-0.265964086,0.2438946279
25107,10,GNDVI,0.1880442344,0.4143394742,-0.312508352,0.1678217025
25107,10,HA,-0.211317647,0.3578203364,0.0279629146,0.9042307703
25107,10,NDVI,0.1387627395,0.5485948946,-0.235721882,0.3036412852
25107,10,PlantCount,0.4546271524,0.0384002262,-0.47665946,0.0289144746
25107,10,Thresh,0.0181935128,0.937610075,-0.411322484,0.0639583443
25107,16,ExG,-0.242391215,0.2897591577,-0.247203202,0.2799911084
25107,16,ExR,-0.144113428,0.5331276719,0.2467609704,0.2808801288
25107,16,GNDRE,0.0832660969,0.7197205132,0.0389082882,0.8670198663
25107,16,GNDVI,-0.052823301,0.8201107758,-0.072407876,0.7551118739
25107,16,HA,0.025751886,0.911773599,0.32850694,0.1459634034
25107,16,NDVI,-0.135382175,0.5584707046,-0.102983261,0.6568869569
25107,16,PlantCount,0.29574242,0.1930455346,-0.051605154,0.8241960993
25107,16,Thresh,-0.248567765,0.2772590021,-0.253497247,0.2675287348
25107,23,ExG,-0.023399815,0.9198055969,-0.062927827,0.7864049205
25107,23,ExR,0.0676943326,0.770628127,0.1414286499,0.5408631727
25107,23,GNDRE,0.3644617513,0.1043032139,0.0035455102,0.9878306226
25107,23,GNDVI,0.0083696201,0.9712773407,0.1433423951,0.5353439342
