fid,id,Trial Name,TrialCode,ComboCode,DAS,layer,path,704ExG_mean,704ExG_variance,704ExR_mean,704ExR_variance,704gNDVI_mean,704gNDVI_variance,704gNDRE_mean,704gNDRE_variance,704NDVI_mean,704NDVI_variance,704THRESH_mean,704THRESH_variance,704HA_mean,704HA_variance,704PLT_,PlotYield,PeakStand,HACorrectedYield
39,410,AYT Trial,25111,25111410,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,1785.194299,13058489.66,1785.194299,13058489.66,0.06912403,0.00329673,-0.029695197,0.000580472,0.254815742,0.007825534,0.041605649,0.039874619,0.923231821,0.070874825,52,3008.472401,0.765828081,3258.631616
40,409,AYT Trial,25111,25111409,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2781.217586,36993190.93,2781.217586,36993190.93,0.090143802,0.005436941,-0.025923469,0.000720602,0.290291587,0.017095735,0.107734443,0.096127733,0.953115656,0.044686202,64,2987.830552,0.970961453,3134.80377
41,501,AYT Trial,25111,25111501,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2760.233053,11212269.4,2760.233053,11212269.4,0.073433021,0.007210264,-0.027954789,0.000794034,0.261482611,0.014882567,0.081838404,0.07514088,0.947962637,0.049329476,90,3019.951861,0.710924792,3185.728786
42,502,AYT Trial,25111,25111502,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2891.952194,15299921.81,2891.952194,15299921.81,0.073203299,0.00789093,-0.032049434,0.000610285,0.268976304,0.019121258,0.101234332,0.090985942,0.942547568,0.05415165,88,3292.925225,0.779270174,3493.643543
43,503,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2800.760224,11371482.6,2800.760224,11371482.6,0.078629356,0.007605502,-0.026689826,0.000827241,0.27178165,0.017227229,0.092162537,0.083668604,0.881014172,0.104828201,69,#VALUE!,0.913534329,#VALUE!
44,504,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2769.531147,8537545.134,2769.531147,8537545.134,0.058926375,0.008492844,-0.037158994,0.000847598,0.257444149,0.016875062,0.088304281,0.080506635,0.96383609,0.034856082,70,#VALUE!,0.913534329,#VALUE!
45,505,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,3095.629558,13598078.29,3095.629558,13598078.29,0.066624075,0.010591799,-0.03278656,0.002189493,0.27312914,0.020124621,0.107880892,0.096242605,0.972158045,0.02706678,61,#VALUE!,0.913534329,#VALUE!
46,506,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2398.042642,5570090.834,2398.042642,5570090.834,0.049921859,0.007453719,-0.033729075,0.001659426,0.251177874,0.01193075,0.063937586,0.059849571,0.967681426,0.031274084,59,#VALUE!,0.913534329,#VALUE!
47,510,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2727.992952,26259732.17,2727.992952,26259732.17,0.071484048,0.007917852,-0.0379356,0.000783492,0.278275691,0.020120413,0.112017925,0.09946991,0.865232624,0.11660513,35,#VALUE!,0.913534329,#VALUE!
48,509,AYT Trial,FILL,#VALUE!,10,7-04 ayt plot files — ayttrialdata_rows_polygons__ayt_plots_dissolved,D:/Drone Imagery/2025 summer/20250704/shapefiles/7-04 ayt plot files.gpkg|layername=ayttrialdata_rows_polygons__ayt_plots_dissolved,2128.315919,14443194.63,2128.315919,14443194.63,0.072159644,0.008374859,-0.03654741,0.000666596,0.271058707,0.016924396,0.090861586,0.082605758,0.949716361,0.047755194,63,#VALUE!,0.913534329,#VALUE!
