SiteYear,Trial,Trial_Full,Combocode,Yield,Yield_HAadj,HA,PeakStand
2025SVREC,2501,2025SVREC_2501,,2653.691142,2713.0334945473446,0.978126937,0.760608705
2025SVREC,2501,2025SVREC_2501,,2795.152434,2868.5632238460444,0.974408516,0.730950886
2025SVREC,2501,2025SVREC_2501,,2890.319714,2948.083122162073,0.980406452,0.848517123
2025SVREC,2501,2025SVREC_2501,,2142.01474,2201.0693876492414,0.97317002,0.712417408
2025SVREC,2501,2025SVREC_2501,,2956.741118,3047.963922851561,0.970070904,0.728551566
2025SVREC,2501,2025SVREC_2501,,3233.321298,3395.7331961362393,0.952171773,0.633224312
2025SVREC,2501,2025SVREC_2501,,1981.6546,2034.3049300594419,0.974118762,0.556176559
2025SVREC,2501,2025SVREC_2501,,2734.642645,2810.3502487998826,0.97306115,0.659721275
2025SVREC,2501,2025SVREC_2501,,2541.845472,2618.202963146246,0.970835916,0.769650209
2025SVREC,2501,2025SVREC_2501,,2271.048973,2329.818873076324,0.974774906,0.707080346
2025SVREC,2501,2025SVREC_2501,,2621.554302,2770.683577654351,0.946175999,0.673857833
2025SVREC,2501,2025SVREC_2501,,2338.653207,2440.69932411846,0.958189804,0.691210948
2025SVREC,2501,2025SVREC_2501,,2506.626248,2570.4362192857584,0.975175431,0.73550695
2025SVREC,2501,2025SVREC_2501,,3362.631434,3502.780983245431,0.959989063,0.887058888
2025SVREC,2501,2025SVREC_2501,,3146.870439,3251.588332229282,0.967794849,0.777953745
2025SVREC,2501,2025SVREC_2501,,2892.263684,2996.239480068817,0.965297902,0.811306841
2025SVREC,2501,2025SVREC_2501,,3060.911201,3182.002192615929,0.961945032,0.946345193
2025SVREC,2501,2025SVREC_2501,,3169.189168,3247.2602602888205,0.975957858,0.823290102
2025SVREC,2501,2025SVREC_2501,,2863.412474,3033.364009082857,0.943972588,0.698528408
2025SVREC,2501,2025SVREC_2501,,2628.42947,2717.387736347677,0.967263315,0.677233508
2025SVREC,2501,2025SVREC_2501,,3253.325787,3368.8273882756407,0.965714598,0.753221579
2025SVREC,2501,2025SVREC_2501,,2747.300989,2847.3075825455703,0.964876786,0.835354529
2025SVREC,2501,2025SVREC_2501,,3401.843408,3498.967873704222,0.972241967,0.745426289
2025SVREC,2501,2025SVREC_2501,,3740.156976,3877.851413772107,0.96449208,0.787983067
2025SVREC,2501,2025SVREC_2501,,3304.650663,3375.0840982669624,0.979131354,0.873170599
2025SVREC,2501,2025SVREC_2501,,1639.124191,1690.3622277187983,0.969688132,0.778205023
2025SVREC,2501,2025SVREC_2501,,3572.108268,3789.9896729731254,0.942511346,0.721151487
2025SVREC,2501,2025SVREC_2501,,2787.440153,2842.305105929036,0.980697022,0.910508493
2025SVREC,2501,2025SVREC_2501,,1705.510611,1738.9488887437853,0.980770983,0.712369476
2025SVREC,2501,2025SVREC_2501,,2930.250384,2997.393303867506,0.977599563,0.782425864
2025SVREC,2501,2025SVREC_2501,,2930.696706,3041.394670199071,0.963602894,0.775125628
2025SVREC,2501,2025SVREC_2501,,2314.348497,2387.3626509201317,0.969416396,0.704190341
2025SVREC,2501,2025SVREC_2501,,2699.974073,2782.3293180280884,0.970400612,0.832241153
2025SVREC,2501,2025SVREC_2501,,2857.305214,3011.9544489002224,0.948654856,0.652939413
2025SVREC,2501,2025SVREC_2501,,3225.194882,3286.84341672428,0.981243848,0.784618325
2025SVREC,2501,2025SVREC_2501,,2149.495583,2198.465242072922,0.977725525,0.641530532
2025SVREC,2501,2025SVREC_2501,,3905.551373,4010.9685097309793,0.973717785,0.810557649
2025SVREC,2501,2025SVREC_2501,,2821.558623,2878.1104541391956,0.980351056,0.728220809
2025SVREC,2501,2025SVREC_2501,,2512.662402,2653.7514742352887,0.946834105,0.730614809
