Site,Trial,Block,Entry,Yield,HA_Mean,sum_distances_div2,variance_distance
SVREC_2025,2502,4,27,2602.410505,0.986165792,4.4009364699999995,0.002096996250092306
SVREC_2025,2502,4,21,1753.231299,0.983139514,4.219282562,0.0027704779071612237
SVREC_2025,2502,4,19,2539.829652,0.949695622,4.024016896,0.004262892037598108
SVREC_2025,2502,4,32,2583.322379,0.979969015,4.6671489065,0.0020715963422042907
SVREC_2025,2502,4,7,2254.162906,0.977362205,4.3062925565,0.002426912619924114
SVREC_2025,2502,4,11,2196.867198,0.973315349,4.119942736,0.0017558807926433013
SVREC_2025,2502,4,31,2897.049213,0.975010025,4.3590812155,0.0025063024126520373
SVREC_2025,2502,4,25,2843.550653,0.990157839,4.402520247,0.0020423154959124186
SVREC_2025,2502,4,15,3586.208301,0.945845941,3.77415706,0.0018292514128672326
SVREC_2025,2502,4,1,2132.91269,0.979129832,4.652671736,0.0015533171365172001
SVREC_2025,2502,4,35,2756.823987,0.978638866,4.445328284,0.0017758867186760837
SVREC_2025,2502,4,4,2942.167227,0.964915798,4.3896099725,0.002677307783611085
SVREC_2025,2502,4,13,2750.486461,0.982392505,4.664613277,0.002452372581435055
SVREC_2025,2502,4,10,2612.472705,0.984507145,4.426343264,0.0012936402886467439
SVREC_2025,2502,4,6,2326.739245,0.974007984,4.379815407,0.0020711453483913973
SVREC_2025,2502,4,34,1703.286729,0.972185768,4.343372657,0.0018262036581485576
SVREC_2025,2502,4,5,2039.248272,0.978821128,4.4240573085,0.0012178127312898366
SVREC_2025,2502,4,33,2637.361244,0.981845688,3.958444587,0.0015706885549866332
SVREC_2025,2502,4,20,2181.979547,0.974537501,4.546045628,0.002008907523553234
SVREC_2025,2502,4,29,2268.598905,0.984179638,4.417722115,0.001889858843469532
SVREC_2025,2502,4,12,2314.439793,0.951678758,4.2191191705,0.0035029839429769087
SVREC_2025,2502,4,26,2484.930214,0.976616181,4.2134335165,0.0019822568668024024
SVREC_2025,2502,4,8,2700.096505,0.929153376,4.0139313995,0.0023472432234293824
